N,Sensor,Location,Id,date,sc_year,GS_num
1,MOD_terra,aysen,MOD13Q1.A2000049,18/02/2000,15,NA
2,MOD_terra,aysen,MOD13Q1.A2000065,05/03/2000,16,NA
3,MOD_terra,aysen,MOD13Q1.A2000081,21/03/2000,17,NA
4,MOD_terra,aysen,MOD13Q1.A2000097,06/04/2000,18,NA
5,MOD_terra,aysen,MOD13Q1.A2000113,22/04/2000,19,NA
6,MOD_terra,aysen,MOD13Q1.A2000129,08/05/2000,20,NA
7,MOD_terra,aysen,MOD13Q1.A2000145,24/05/2000,21,NA
8,MOD_terra,aysen,MOD13Q1.A2000161,09/06/2000,22,NA
9,MOD_terra,aysen,MOD13Q1.A2000177,25/06/2000,23,NA
10,MOD_terra,aysen,MOD13Q1.A2000193,11/07/2000,1,GS_01
11,MOD_terra,aysen,MOD13Q1.A2000209,27/07/2000,2,GS_01
12,MOD_terra,aysen,MOD13Q1.A2000225,12/08/2000,3,GS_01
13,MOD_terra,aysen,MOD13Q1.A2000241,28/08/2000,4,GS_01
14,MOD_terra,aysen,MOD13Q1.A2000257,13/09/2000,5,GS_01
15,MOD_terra,aysen,MOD13Q1.A2000273,29/09/2000,6,GS_01
16,MOD_terra,aysen,MOD13Q1.A2000289,15/10/2000,7,GS_01
17,MOD_terra,aysen,MOD13Q1.A2000305,31/10/2000,8,GS_01
18,MOD_terra,aysen,MOD13Q1.A2000321,16/11/2000,9,GS_01
19,MOD_terra,aysen,MOD13Q1.A2000337,02/12/2000,10,GS_01
20,MOD_terra,aysen,MOD13Q1.A2000353,18/12/2000,11,GS_01
21,MOD_terra,aysen,MOD13Q1.A2001001,01/01/2001,12,GS_01
22,MOD_terra,aysen,MOD13Q1.A2001017,17/01/2001,13,GS_01
23,MOD_terra,aysen,MOD13Q1.A2001033,02/02/2001,14,GS_01
24,MOD_terra,aysen,MOD13Q1.A2001049,18/02/2001,15,GS_01
25,MOD_terra,aysen,MOD13Q1.A2001065,06/03/2001,16,GS_01
