N,Sensor,Location,Id,date,GS,year_scene
1,MOD_terra,Slovenia,MOD13Q1.A2000049,18/02/2000,GS01,4
2,MOD_terra,Slovenia,MOD13Q1.A2000065,05/03/2000,GS01,5
3,MOD_terra,Slovenia,MOD13Q1.A2000081,21/03/2000,GS01,6
4,MOD_terra,Slovenia,MOD13Q1.A2000097,06/04/2000,GS01,7
5,MOD_terra,Slovenia,MOD13Q1.A2000113,22/04/2000,GS01,8
6,MOD_terra,Slovenia,MOD13Q1.A2000129,08/05/2000,GS01,9
7,MOD_terra,Slovenia,MOD13Q1.A2000145,24/05/2000,GS01,10
8,MOD_terra,Slovenia,MOD13Q1.A2000161,09/06/2000,GS01,11
9,MOD_terra,Slovenia,MOD13Q1.A2000177,25/06/2000,GS01,12
10,MOD_terra,Slovenia,MOD13Q1.A2000193,11/07/2000,GS01,13
11,MOD_terra,Slovenia,MOD13Q1.A2000209,27/07/2000,GS01,14
12,MOD_terra,Slovenia,MOD13Q1.A2000225,12/08/2000,GS01,15
13,MOD_terra,Slovenia,MOD13Q1.A2000241,28/08/2000,GS01,16
14,MOD_terra,Slovenia,MOD13Q1.A2000257,13/09/2000,GS01,17
15,MOD_terra,Slovenia,MOD13Q1.A2000273,29/09/2000,GS01,18
16,MOD_terra,Slovenia,MOD13Q1.A2000289,15/10/2000,GS01,19
17,MOD_terra,Slovenia,MOD13Q1.A2000305,31/10/2000,GS01,20
18,MOD_terra,Slovenia,MOD13Q1.A2000321,16/11/2000,GS01,21
19,MOD_terra,Slovenia,MOD13Q1.A2000337,02/12/2000,GS01,22
20,MOD_terra,Slovenia,MOD13Q1.A2000353,18/12/2000,GS01,23
21,MOD_terra,Slovenia,MOD13Q1.A2001001,01/01/2001,GS02,1
22,MOD_terra,Slovenia,MOD13Q1.A2001017,17/01/2001,GS02,2
23,MOD_terra,Slovenia,MOD13Q1.A2001033,02/02/2001,GS02,3
24,MOD_terra,Slovenia,MOD13Q1.A2001049,18/02/2001,GS02,4
25,MOD_terra,Slovenia,MOD13Q1.A2001065,06/03/2001,GS02,5
26,MOD_terra,Slovenia,MOD13Q1.A2001081,22/03/2001,GS02,6
27,MOD_terra,Slovenia,MOD13Q1.A2001097,07/04/2001,GS02,7
28,MOD_terra,Slovenia,MOD13Q1.A2001113,23/04/2001,GS02,8
29,MOD_terra,Slovenia,MOD13Q1.A2001129,09/05/2001,GS02,9
30,MOD_terra,Slovenia,MOD13Q1.A2001145,25/05/2001,GS02,10
31,MOD_terra,Slovenia,MOD13Q1.A2001161,10/06/2001,GS02,11
32,MOD_terra,Slovenia,MOD13Q1.A2001177,26/06/2001,GS02,12
33,MOD_terra,Slovenia,MOD13Q1.A2001193,12/07/2001,GS02,13
34,MOD_terra,Slovenia,MOD13Q1.A2001209,28/07/2001,GS02,14
35,MOD_terra,Slovenia,MOD13Q1.A2001225,13/08/2001,GS02,15
36,MOD_terra,Slovenia,MOD13Q1.A2001241,29/08/2001,GS02,16
37,MOD_terra,Slovenia,MOD13Q1.A2001257,14/09/2001,GS02,17
38,MOD_terra,Slovenia,MOD13Q1.A2001273,30/09/2001,GS02,18
39,MOD_terra,Slovenia,MOD13Q1.A2001289,16/10/2001,GS02,19
40,MOD_terra,Slovenia,MOD13Q1.A2001305,01/11/2001,GS02,20
41,MOD_terra,Slovenia,MOD13Q1.A2001321,17/11/2001,GS02,21
42,MOD_terra,Slovenia,MOD13Q1.A2001337,03/12/2001,GS02,22
43,MOD_terra,Slovenia,MOD13Q1.A2001353,19/12/2001,GS02,23
44,MOD_terra,Slovenia,MOD13Q1.A2002001,01/01/2002,GS03,1
45,MOD_terra,Slovenia,MOD13Q1.A2002017,17/01/2002,GS03,2
46,MOD_terra,Slovenia,MOD13Q1.A2002033,02/02/2002,GS03,3
47,MOD_terra,Slovenia,MOD13Q1.A2002049,18/02/2002,GS03,4
48,MOD_terra,Slovenia,MOD13Q1.A2002065,06/03/2002,GS03,5
49,MOD_terra,Slovenia,MOD13Q1.A2002081,22/03/2002,GS03,6
50,MOD_terra,Slovenia,MOD13Q1.A2002097,07/04/2002,GS03,7
51,MOD_terra,Slovenia,MOD13Q1.A2002113,23/04/2002,GS03,8
52,MOD_terra,Slovenia,MOD13Q1.A2002129,09/05/2002,GS03,9
53,MOD_terra,Slovenia,MOD13Q1.A2002145,25/05/2002,GS03,10
54,MOD_terra,Slovenia,MOD13Q1.A2002161,10/06/2002,GS03,11
55,MOD_terra,Slovenia,MOD13Q1.A2002177,26/06/2002,GS03,12
56,MOD_terra,Slovenia,MOD13Q1.A2002193,12/07/2002,GS03,13
57,MOD_terra,Slovenia,MOD13Q1.A2002209,28/07/2002,GS03,14
58,MOD_terra,Slovenia,MOD13Q1.A2002225,13/08/2002,GS03,15
59,MOD_terra,Slovenia,MOD13Q1.A2002241,29/08/2002,GS03,16
60,MOD_terra,Slovenia,MOD13Q1.A2002257,14/09/2002,GS03,17
61,MOD_terra,Slovenia,MOD13Q1.A2002273,30/09/2002,GS03,18
62,MOD_terra,Slovenia,MOD13Q1.A2002289,16/10/2002,GS03,19
63,MOD_terra,Slovenia,MOD13Q1.A2002305,01/11/2002,GS03,20
64,MOD_terra,Slovenia,MOD13Q1.A2002321,17/11/2002,GS03,21
65,MOD_terra,Slovenia,MOD13Q1.A2002337,03/12/2002,GS03,22
66,MOD_terra,Slovenia,MOD13Q1.A2002353,19/12/2002,GS03,23
67,MOD_terra,Slovenia,MOD13Q1.A2003001,01/01/2003,GS04,1
68,MOD_terra,Slovenia,MOD13Q1.A2003017,17/01/2003,GS04,2
69,MOD_terra,Slovenia,MOD13Q1.A2003033,02/02/2003,GS04,3
70,MOD_terra,Slovenia,MOD13Q1.A2003049,18/02/2003,GS04,4
