N,Sensor,Location,Id,date,GS,year_scene
71,MOD_terra,Slovenia,MOD13Q1.A2003065,06/03/2003,GS04,5
72,MOD_terra,Slovenia,MOD13Q1.A2003081,22/03/2003,GS04,6
73,MOD_terra,Slovenia,MOD13Q1.A2003097,07/04/2003,GS04,7
74,MOD_terra,Slovenia,MOD13Q1.A2003113,23/04/2003,GS04,8
75,MOD_terra,Slovenia,MOD13Q1.A2003129,09/05/2003,GS04,9
76,MOD_terra,Slovenia,MOD13Q1.A2003145,25/05/2003,GS04,10
77,MOD_terra,Slovenia,MOD13Q1.A2003161,10/06/2003,GS04,11
78,MOD_terra,Slovenia,MOD13Q1.A2003177,26/06/2003,GS04,12
79,MOD_terra,Slovenia,MOD13Q1.A2003193,12/07/2003,GS04,13
80,MOD_terra,Slovenia,MOD13Q1.A2003209,28/07/2003,GS04,14
81,MOD_terra,Slovenia,MOD13Q1.A2003225,13/08/2003,GS04,15
82,MOD_terra,Slovenia,MOD13Q1.A2003241,29/08/2003,GS04,16
83,MOD_terra,Slovenia,MOD13Q1.A2003257,14/09/2003,GS04,17
84,MOD_terra,Slovenia,MOD13Q1.A2003273,30/09/2003,GS04,18
85,MOD_terra,Slovenia,MOD13Q1.A2003289,16/10/2003,GS04,19
86,MOD_terra,Slovenia,MOD13Q1.A2003305,01/11/2003,GS04,20
87,MOD_terra,Slovenia,MOD13Q1.A2003321,17/11/2003,GS04,21
88,MOD_terra,Slovenia,MOD13Q1.A2003337,03/12/2003,GS04,22
89,MOD_terra,Slovenia,MOD13Q1.A2003353,19/12/2003,GS04,23
90,MOD_terra,Slovenia,MOD13Q1.A2004001,01/01/2004,GS05,1
91,MOD_terra,Slovenia,MOD13Q1.A2004017,17/01/2004,GS05,2
92,MOD_terra,Slovenia,MOD13Q1.A2004033,02/02/2004,GS05,3
93,MOD_terra,Slovenia,MOD13Q1.A2004049,18/02/2004,GS05,4
94,MOD_terra,Slovenia,MOD13Q1.A2004065,05/03/2004,GS05,5
95,MOD_terra,Slovenia,MOD13Q1.A2004081,21/03/2004,GS05,6
96,MOD_terra,Slovenia,MOD13Q1.A2004097,06/04/2004,GS05,7
97,MOD_terra,Slovenia,MOD13Q1.A2004113,22/04/2004,GS05,8
98,MOD_terra,Slovenia,MOD13Q1.A2004129,08/05/2004,GS05,9
99,MOD_terra,Slovenia,MOD13Q1.A2004145,24/05/2004,GS05,10
100,MOD_terra,Slovenia,MOD13Q1.A2004161,09/06/2004,GS05,11
101,MOD_terra,Slovenia,MOD13Q1.A2004177,25/06/2004,GS05,12
102,MOD_terra,Slovenia,MOD13Q1.A2004193,11/07/2004,GS05,13
103,MOD_terra,Slovenia,MOD13Q1.A2004209,27/07/2004,GS05,14
104,MOD_terra,Slovenia,MOD13Q1.A2004225,12/08/2004,GS05,15
105,MOD_terra,Slovenia,MOD13Q1.A2004241,28/08/2004,GS05,16
106,MOD_terra,Slovenia,MOD13Q1.A2004257,13/09/2004,GS05,17
107,MOD_terra,Slovenia,MOD13Q1.A2004273,29/09/2004,GS05,18
108,MOD_terra,Slovenia,MOD13Q1.A2004289,15/10/2004,GS05,19
109,MOD_terra,Slovenia,MOD13Q1.A2004305,31/10/2004,GS05,20
110,MOD_terra,Slovenia,MOD13Q1.A2004321,16/11/2004,GS05,21
111,MOD_terra,Slovenia,MOD13Q1.A2004337,02/12/2004,GS05,22
112,MOD_terra,Slovenia,MOD13Q1.A2004353,18/12/2004,GS05,23
113,MOD_terra,Slovenia,MOD13Q1.A2005001,01/01/2005,GS06,1
114,MOD_terra,Slovenia,MOD13Q1.A2005017,17/01/2005,GS06,2
115,MOD_terra,Slovenia,MOD13Q1.A2005033,02/02/2005,GS06,3
116,MOD_terra,Slovenia,MOD13Q1.A2005049,18/02/2005,GS06,4
117,MOD_terra,Slovenia,MOD13Q1.A2005065,06/03/2005,GS06,5
118,MOD_terra,Slovenia,MOD13Q1.A2005081,22/03/2005,GS06,6
119,MOD_terra,Slovenia,MOD13Q1.A2005097,07/04/2005,GS06,7
120,MOD_terra,Slovenia,MOD13Q1.A2005113,23/04/2005,GS06,8
121,MOD_terra,Slovenia,MOD13Q1.A2005129,09/05/2005,GS06,9
122,MOD_terra,Slovenia,MOD13Q1.A2005145,25/05/2005,GS06,10
123,MOD_terra,Slovenia,MOD13Q1.A2005161,10/06/2005,GS06,11
124,MOD_terra,Slovenia,MOD13Q1.A2005177,26/06/2005,GS06,12
125,MOD_terra,Slovenia,MOD13Q1.A2005193,12/07/2005,GS06,13
126,MOD_terra,Slovenia,MOD13Q1.A2005209,28/07/2005,GS06,14
127,MOD_terra,Slovenia,MOD13Q1.A2005225,13/08/2005,GS06,15
128,MOD_terra,Slovenia,MOD13Q1.A2005241,29/08/2005,GS06,16
129,MOD_terra,Slovenia,MOD13Q1.A2005257,14/09/2005,GS06,17
130,MOD_terra,Slovenia,MOD13Q1.A2005273,30/09/2005,GS06,18
131,MOD_terra,Slovenia,MOD13Q1.A2005289,16/10/2005,GS06,19
132,MOD_terra,Slovenia,MOD13Q1.A2005305,01/11/2005,GS06,20
133,MOD_terra,Slovenia,MOD13Q1.A2005321,17/11/2005,GS06,21
134,MOD_terra,Slovenia,MOD13Q1.A2005337,03/12/2005,GS06,22
135,MOD_terra,Slovenia,MOD13Q1.A2005353,19/12/2005,GS06,23
136,MOD_terra,Slovenia,MOD13Q1.A2006001,01/01/2006,GS07,1
137,MOD_terra,Slovenia,MOD13Q1.A2006017,17/01/2006,GS07,2
138,MOD_terra,Slovenia,MOD13Q1.A2006033,02/02/2006,GS07,3
139,MOD_terra,Slovenia,MOD13Q1.A2006049,18/02/2006,GS07,4
140,MOD_terra,Slovenia,MOD13Q1.A2006065,06/03/2006,GS07,5
141,MOD_terra,Slovenia,MOD13Q1.A2006081,22/03/2006,GS07,6
142,MOD_terra,Slovenia,MOD13Q1.A2006097,07/04/2006,GS07,7
143,MOD_terra,Slovenia,MOD13Q1.A2006113,23/04/2006,GS07,8
144,MOD_terra,Slovenia,MOD13Q1.A2006129,09/05/2006,GS07,9
145,MOD_terra,Slovenia,MOD13Q1.A2006145,25/05/2006,GS07,10
146,MOD_terra,Slovenia,MOD13Q1.A2006161,10/06/2006,GS07,11
147,MOD_terra,Slovenia,MOD13Q1.A2006177,26/06/2006,GS07,12
148,MOD_terra,Slovenia,MOD13Q1.A2006193,12/07/2006,GS07,13
149,MOD_terra,Slovenia,MOD13Q1.A2006209,28/07/2006,GS07,14
150,MOD_terra,Slovenia,MOD13Q1.A2006225,13/08/2006,GS07,15
151,MOD_terra,Slovenia,MOD13Q1.A2006241,29/08/2006,GS07,16
152,MOD_terra,Slovenia,MOD13Q1.A2006257,14/09/2006,GS07,17
153,MOD_terra,Slovenia,MOD13Q1.A2006273,30/09/2006,GS07,18
154,MOD_terra,Slovenia,MOD13Q1.A2006289,16/10/2006,GS07,19
155,MOD_terra,Slovenia,MOD13Q1.A2006305,01/11/2006,GS07,20
156,MOD_terra,Slovenia,MOD13Q1.A2006321,17/11/2006,GS07,21
157,MOD_terra,Slovenia,MOD13Q1.A2006337,03/12/2006,GS07,22
158,MOD_terra,Slovenia,MOD13Q1.A2006353,19/12/2006,GS07,23
159,MOD_terra,Slovenia,MOD13Q1.A2007001,01/01/2007,GS08,1
160,MOD_terra,Slovenia,MOD13Q1.A2007017,17/01/2007,GS08,2
161,MOD_terra,Slovenia,MOD13Q1.A2007033,02/02/2007,GS08,3
162,MOD_terra,Slovenia,MOD13Q1.A2007049,18/02/2007,GS08,4
163,MOD_terra,Slovenia,MOD13Q1.A2007065,06/03/2007,GS08,5
164,MOD_terra,Slovenia,MOD13Q1.A2007081,22/03/2007,GS08,6
165,MOD_terra,Slovenia,MOD13Q1.A2007097,07/04/2007,GS08,7
166,MOD_terra,Slovenia,MOD13Q1.A2007113,23/04/2007,GS08,8
167,MOD_terra,Slovenia,MOD13Q1.A2007129,09/05/2007,GS08,9
168,MOD_terra,Slovenia,MOD13Q1.A2007145,25/05/2007,GS08,10
169,MOD_terra,Slovenia,MOD13Q1.A2007161,10/06/2007,GS08,11
170,MOD_terra,Slovenia,MOD13Q1.A2007177,26/06/2007,GS08,12
171,MOD_terra,Slovenia,MOD13Q1.A2007193,12/07/2007,GS08,13
172,MOD_terra,Slovenia,MOD13Q1.A2007209,28/07/2007,GS08,14
173,MOD_terra,Slovenia,MOD13Q1.A2007225,13/08/2007,GS08,15
174,MOD_terra,Slovenia,MOD13Q1.A2007241,29/08/2007,GS08,16
175,MOD_terra,Slovenia,MOD13Q1.A2007257,14/09/2007,GS08,17
176,MOD_terra,Slovenia,MOD13Q1.A2007273,30/09/2007,GS08,18
177,MOD_terra,Slovenia,MOD13Q1.A2007289,16/10/2007,GS08,19
178,MOD_terra,Slovenia,MOD13Q1.A2007305,01/11/2007,GS08,20
179,MOD_terra,Slovenia,MOD13Q1.A2007321,17/11/2007,GS08,21
180,MOD_terra,Slovenia,MOD13Q1.A2007337,03/12/2007,GS08,22
181,MOD_terra,Slovenia,MOD13Q1.A2007353,19/12/2007,GS08,23
182,MOD_terra,Slovenia,MOD13Q1.A2008001,01/01/2008,GS09,1
183,MOD_terra,Slovenia,MOD13Q1.A2008017,17/01/2008,GS09,2
184,MOD_terra,Slovenia,MOD13Q1.A2008033,02/02/2008,GS09,3
185,MOD_terra,Slovenia,MOD13Q1.A2008049,18/02/2008,GS09,4
186,MOD_terra,Slovenia,MOD13Q1.A2008065,05/03/2008,GS09,5
187,MOD_terra,Slovenia,MOD13Q1.A2008081,21/03/2008,GS09,6
188,MOD_terra,Slovenia,MOD13Q1.A2008097,06/04/2008,GS09,7
189,MOD_terra,Slovenia,MOD13Q1.A2008113,22/04/2008,GS09,8
190,MOD_terra,Slovenia,MOD13Q1.A2008129,08/05/2008,GS09,9
191,MOD_terra,Slovenia,MOD13Q1.A2008145,24/05/2008,GS09,10
192,MOD_terra,Slovenia,MOD13Q1.A2008161,09/06/2008,GS09,11
193,MOD_terra,Slovenia,MOD13Q1.A2008177,25/06/2008,GS09,12
194,MOD_terra,Slovenia,MOD13Q1.A2008193,11/07/2008,GS09,13
195,MOD_terra,Slovenia,MOD13Q1.A2008209,27/07/2008,GS09,14
196,MOD_terra,Slovenia,MOD13Q1.A2008225,12/08/2008,GS09,15
197,MOD_terra,Slovenia,MOD13Q1.A2008241,28/08/2008,GS09,16
198,MOD_terra,Slovenia,MOD13Q1.A2008257,13/09/2008,GS09,17
199,MOD_terra,Slovenia,MOD13Q1.A2008273,29/09/2008,GS09,18
200,MOD_terra,Slovenia,MOD13Q1.A2008289,15/10/2008,GS09,19
201,MOD_terra,Slovenia,MOD13Q1.A2008305,31/10/2008,GS09,20
202,MOD_terra,Slovenia,MOD13Q1.A2008321,16/11/2008,GS09,21
203,MOD_terra,Slovenia,MOD13Q1.A2008337,02/12/2008,GS09,22
204,MOD_terra,Slovenia,MOD13Q1.A2008353,18/12/2008,GS09,23
205,MOD_terra,Slovenia,MOD13Q1.A2009001,01/01/2009,GS10,1
206,MOD_terra,Slovenia,MOD13Q1.A2009017,17/01/2009,GS10,2
207,MOD_terra,Slovenia,MOD13Q1.A2009033,02/02/2009,GS10,3
208,MOD_terra,Slovenia,MOD13Q1.A2009049,18/02/2009,GS10,4
209,MOD_terra,Slovenia,MOD13Q1.A2009065,06/03/2009,GS10,5
210,MOD_terra,Slovenia,MOD13Q1.A2009081,22/03/2009,GS10,6
211,MOD_terra,Slovenia,MOD13Q1.A2009097,07/04/2009,GS10,7
212,MOD_terra,Slovenia,MOD13Q1.A2009113,23/04/2009,GS10,8
213,MOD_terra,Slovenia,MOD13Q1.A2009129,09/05/2009,GS10,9
214,MOD_terra,Slovenia,MOD13Q1.A2009145,25/05/2009,GS10,10
215,MOD_terra,Slovenia,MOD13Q1.A2009161,10/06/2009,GS10,11
216,MOD_terra,Slovenia,MOD13Q1.A2009177,26/06/2009,GS10,12
217,MOD_terra,Slovenia,MOD13Q1.A2009193,12/07/2009,GS10,13
218,MOD_terra,Slovenia,MOD13Q1.A2009209,28/07/2009,GS10,14
219,MOD_terra,Slovenia,MOD13Q1.A2009225,13/08/2009,GS10,15
220,MOD_terra,Slovenia,MOD13Q1.A2009241,29/08/2009,GS10,16
221,MOD_terra,Slovenia,MOD13Q1.A2009257,14/09/2009,GS10,17
222,MOD_terra,Slovenia,MOD13Q1.A2009273,30/09/2009,GS10,18
223,MOD_terra,Slovenia,MOD13Q1.A2009289,16/10/2009,GS10,19
224,MOD_terra,Slovenia,MOD13Q1.A2009305,01/11/2009,GS10,20
225,MOD_terra,Slovenia,MOD13Q1.A2009321,17/11/2009,GS10,21
226,MOD_terra,Slovenia,MOD13Q1.A2009337,03/12/2009,GS10,22
227,MOD_terra,Slovenia,MOD13Q1.A2009353,19/12/2009,GS10,23
228,MOD_terra,Slovenia,MOD13Q1.A2010001,01/01/2010,GS11,1
229,MOD_terra,Slovenia,MOD13Q1.A2010017,17/01/2010,GS11,2
230,MOD_terra,Slovenia,MOD13Q1.A2010033,02/02/2010,GS11,3
231,MOD_terra,Slovenia,MOD13Q1.A2010049,18/02/2010,GS11,4
232,MOD_terra,Slovenia,MOD13Q1.A2010065,06/03/2010,GS11,5
233,MOD_terra,Slovenia,MOD13Q1.A2010081,22/03/2010,GS11,6
234,MOD_terra,Slovenia,MOD13Q1.A2010097,07/04/2010,GS11,7
235,MOD_terra,Slovenia,MOD13Q1.A2010113,23/04/2010,GS11,8
236,MOD_terra,Slovenia,MOD13Q1.A2010129,09/05/2010,GS11,9
237,MOD_terra,Slovenia,MOD13Q1.A2010145,25/05/2010,GS11,10
238,MOD_terra,Slovenia,MOD13Q1.A2010161,10/06/2010,GS11,11
239,MOD_terra,Slovenia,MOD13Q1.A2010177,26/06/2010,GS11,12
240,MOD_terra,Slovenia,MOD13Q1.A2010193,12/07/2010,GS11,13
241,MOD_terra,Slovenia,MOD13Q1.A2010209,28/07/2010,GS11,14
242,MOD_terra,Slovenia,MOD13Q1.A2010225,13/08/2010,GS11,15
243,MOD_terra,Slovenia,MOD13Q1.A2010241,29/08/2010,GS11,16
244,MOD_terra,Slovenia,MOD13Q1.A2010257,14/09/2010,GS11,17
245,MOD_terra,Slovenia,MOD13Q1.A2010273,30/09/2010,GS11,18
246,MOD_terra,Slovenia,MOD13Q1.A2010289,16/10/2010,GS11,19
247,MOD_terra,Slovenia,MOD13Q1.A2010305,01/11/2010,GS11,20
248,MOD_terra,Slovenia,MOD13Q1.A2010321,17/11/2010,GS11,21
249,MOD_terra,Slovenia,MOD13Q1.A2010337,03/12/2010,GS11,22
250,MOD_terra,Slovenia,MOD13Q1.A2010353,19/12/2010,GS11,23
251,MOD_terra,Slovenia,MOD13Q1.A2011001,01/01/2011,GS12,1
252,MOD_terra,Slovenia,MOD13Q1.A2011017,17/01/2011,GS12,2
253,MOD_terra,Slovenia,MOD13Q1.A2011033,02/02/2011,GS12,3
254,MOD_terra,Slovenia,MOD13Q1.A2011049,18/02/2011,GS12,4
255,MOD_terra,Slovenia,MOD13Q1.A2011065,06/03/2011,GS12,5
256,MOD_terra,Slovenia,MOD13Q1.A2011081,22/03/2011,GS12,6
257,MOD_terra,Slovenia,MOD13Q1.A2011097,07/04/2011,GS12,7
258,MOD_terra,Slovenia,MOD13Q1.A2011113,23/04/2011,GS12,8
259,MOD_terra,Slovenia,MOD13Q1.A2011129,09/05/2011,GS12,9
260,MOD_terra,Slovenia,MOD13Q1.A2011145,25/05/2011,GS12,10
261,MOD_terra,Slovenia,MOD13Q1.A2011161,10/06/2011,GS12,11
262,MOD_terra,Slovenia,MOD13Q1.A2011177,26/06/2011,GS12,12
263,MOD_terra,Slovenia,MOD13Q1.A2011193,12/07/2011,GS12,13
264,MOD_terra,Slovenia,MOD13Q1.A2011209,28/07/2011,GS12,14
265,MOD_terra,Slovenia,MOD13Q1.A2011225,13/08/2011,GS12,15
266,MOD_terra,Slovenia,MOD13Q1.A2011241,29/08/2011,GS12,16
267,MOD_terra,Slovenia,MOD13Q1.A2011257,14/09/2011,GS12,17
268,MOD_terra,Slovenia,MOD13Q1.A2011273,30/09/2011,GS12,18
269,MOD_terra,Slovenia,MOD13Q1.A2011289,16/10/2011,GS12,19
270,MOD_terra,Slovenia,MOD13Q1.A2011305,01/11/2011,GS12,20
271,MOD_terra,Slovenia,MOD13Q1.A2011321,17/11/2011,GS12,21
272,MOD_terra,Slovenia,MOD13Q1.A2011337,03/12/2011,GS12,22
273,MOD_terra,Slovenia,MOD13Q1.A2011353,19/12/2011,GS12,23
274,MOD_terra,Slovenia,MOD13Q1.A2012001,01/01/2012,GS13,1
275,MOD_terra,Slovenia,MOD13Q1.A2012017,17/01/2012,GS13,2
276,MOD_terra,Slovenia,MOD13Q1.A2012033,02/02/2012,GS13,3
277,MOD_terra,Slovenia,MOD13Q1.A2012049,18/02/2012,GS13,4
278,MOD_terra,Slovenia,MOD13Q1.A2012065,05/03/2012,GS13,5
279,MOD_terra,Slovenia,MOD13Q1.A2012081,21/03/2012,GS13,6
280,MOD_terra,Slovenia,MOD13Q1.A2012097,06/04/2012,GS13,7
281,MOD_terra,Slovenia,MOD13Q1.A2012113,22/04/2012,GS13,8
282,MOD_terra,Slovenia,MOD13Q1.A2012129,08/05/2012,GS13,9
283,MOD_terra,Slovenia,MOD13Q1.A2012145,24/05/2012,GS13,10
284,MOD_terra,Slovenia,MOD13Q1.A2012161,09/06/2012,GS13,11
285,MOD_terra,Slovenia,MOD13Q1.A2012177,25/06/2012,GS13,12
286,MOD_terra,Slovenia,MOD13Q1.A2012193,11/07/2012,GS13,13
287,MOD_terra,Slovenia,MOD13Q1.A2012209,27/07/2012,GS13,14
288,MOD_terra,Slovenia,MOD13Q1.A2012225,12/08/2012,GS13,15
289,MOD_terra,Slovenia,MOD13Q1.A2012241,28/08/2012,GS13,16
290,MOD_terra,Slovenia,MOD13Q1.A2012257,13/09/2012,GS13,17
291,MOD_terra,Slovenia,MOD13Q1.A2012273,29/09/2012,GS13,18
292,MOD_terra,Slovenia,MOD13Q1.A2012289,15/10/2012,GS13,19
293,MOD_terra,Slovenia,MOD13Q1.A2012305,31/10/2012,GS13,20
294,MOD_terra,Slovenia,MOD13Q1.A2012321,16/11/2012,GS13,21
295,MOD_terra,Slovenia,MOD13Q1.A2012337,02/12/2012,GS13,22
296,MOD_terra,Slovenia,MOD13Q1.A2012353,18/12/2012,GS13,23
297,MOD_terra,Slovenia,MOD13Q1.A2013001,01/01/2013,GS14,1
298,MOD_terra,Slovenia,MOD13Q1.A2013017,17/01/2013,GS14,2
299,MOD_terra,Slovenia,MOD13Q1.A2013033,02/02/2013,GS14,3
300,MOD_terra,Slovenia,MOD13Q1.A2013049,18/02/2013,GS14,4
301,MOD_terra,Slovenia,MOD13Q1.A2013065,06/03/2013,GS14,5
302,MOD_terra,Slovenia,MOD13Q1.A2013081,22/03/2013,GS14,6
303,MOD_terra,Slovenia,MOD13Q1.A2013097,07/04/2013,GS14,7
304,MOD_terra,Slovenia,MOD13Q1.A2013113,23/04/2013,GS14,8
305,MOD_terra,Slovenia,MOD13Q1.A2013129,09/05/2013,GS14,9
306,MOD_terra,Slovenia,MOD13Q1.A2013145,25/05/2013,GS14,10
307,MOD_terra,Slovenia,MOD13Q1.A2013161,10/06/2013,GS14,11
308,MOD_terra,Slovenia,MOD13Q1.A2013177,26/06/2013,GS14,12
309,MOD_terra,Slovenia,MOD13Q1.A2013193,12/07/2013,GS14,13
310,MOD_terra,Slovenia,MOD13Q1.A2013209,28/07/2013,GS14,14
311,MOD_terra,Slovenia,MOD13Q1.A2013225,13/08/2013,GS14,15
312,MOD_terra,Slovenia,MOD13Q1.A2013241,29/08/2013,GS14,16
313,MOD_terra,Slovenia,MOD13Q1.A2013257,14/09/2013,GS14,17
314,MOD_terra,Slovenia,MOD13Q1.A2013273,30/09/2013,GS14,18
315,MOD_terra,Slovenia,MOD13Q1.A2013289,16/10/2013,GS14,19
316,MOD_terra,Slovenia,MOD13Q1.A2013305,01/11/2013,GS14,20
317,MOD_terra,Slovenia,MOD13Q1.A2013321,17/11/2013,GS14,21
318,MOD_terra,Slovenia,MOD13Q1.A2013337,03/12/2013,GS14,22
319,MOD_terra,Slovenia,MOD13Q1.A2013353,19/12/2013,GS14,23
320,MOD_terra,Slovenia,MOD13Q1.A2014001,01/01/2014,GS15,1
321,MOD_terra,Slovenia,MOD13Q1.A2014017,17/01/2014,GS15,2
322,MOD_terra,Slovenia,MOD13Q1.A2014033,02/02/2014,GS15,3
323,MOD_terra,Slovenia,MOD13Q1.A2014049,18/02/2014,GS15,4
324,MOD_terra,Slovenia,MOD13Q1.A2014065,06/03/2014,GS15,5
325,MOD_terra,Slovenia,MOD13Q1.A2014081,22/03/2014,GS15,6
326,MOD_terra,Slovenia,MOD13Q1.A2014097,07/04/2014,GS15,7
327,MOD_terra,Slovenia,MOD13Q1.A2014113,23/04/2014,GS15,8
328,MOD_terra,Slovenia,MOD13Q1.A2014129,09/05/2014,GS15,9
329,MOD_terra,Slovenia,MOD13Q1.A2014145,25/05/2014,GS15,10
330,MOD_terra,Slovenia,MOD13Q1.A2014161,10/06/2014,GS15,11
331,MOD_terra,Slovenia,MOD13Q1.A2014177,26/06/2014,GS15,12
332,MOD_terra,Slovenia,MOD13Q1.A2014193,12/07/2014,GS15,13
333,MOD_terra,Slovenia,MOD13Q1.A2014209,28/07/2014,GS15,14
334,MOD_terra,Slovenia,MOD13Q1.A2014225,13/08/2014,GS15,15
335,MOD_terra,Slovenia,MOD13Q1.A2014241,29/08/2014,GS15,16
336,MOD_terra,Slovenia,MOD13Q1.A2014257,14/09/2014,GS15,17
337,MOD_terra,Slovenia,MOD13Q1.A2014273,30/09/2014,GS15,18
338,MOD_terra,Slovenia,MOD13Q1.A2014289,16/10/2014,GS15,19
339,MOD_terra,Slovenia,MOD13Q1.A2014305,01/11/2014,GS15,20
340,MOD_terra,Slovenia,MOD13Q1.A2014321,17/11/2014,GS15,21
